code,population
RUS,168000000
CHN,510000000
USA,128000000
IND,350000000
JPN,70000000
DEU,67000000
GBR,47500000
FRA,41500000
ITA,43000000
IDN,65000000
BRA,41000000
PAK,28000000
BGD,62000000
NGA,21000000
MEX,18000000
PHL,16000000
TUR,16000000
THA,15000000
EGY,16000000
ESP,25000000
POL,34000000
CAN,11000000
ARG,13000000
KOR,23000000
VNM,19000000
MMR,16000000
COL,9000000
ETH,12000000
ROU,19000000
ZAF,10000000
AUS,6800000
NLD,8600000
BEL,8200000
CZE,15000000
HUN,9000000
PRT,7300000
GRC,7000000
SWE,6200000
AUT,6700000
CHE,4100000
DNK,3700000
FIN,3600000
NOR,2900000
IRL,2900000
BGR,6200000
SRB,6600000
HRV,3900000
SVN,1400000
SVK,3900000
LTU,2500000
LVA,1900000
EST,1100000
ALB,1000000
MKD,1700000
BIH,3300000
MNE,400000
IRN,15000000
IRQ,3600000
SAU,3500000
AFG,7000000
NPL,6000000
LKA,5800000
SYR,2500000
LBN,900000
JOR,400000
YEM,4000000
OMN,500000
KWT,70000
ARE,80000
QAT,16000
BHR,90000
CUB,4400000
DOM,1500000
GTM,2400000
SLV,1400000
HND,1200000
NIC,700000
CRI,600000
PAN,500000
HTI,2700000
JAM,1200000
TTO,500000
VEN,3400000
PER,6300000
BOL,2700000
CHL,4700000
PRY,1000000
URY,1900000
ECU,2400000
DZA,7200000
MAR,6200000
TUN,2700000
LBY,900000
SDN,6000000
SOM,2000000
KEN,6000000
TZA,5000000
UGA,4000000
MOZ,5000000
MDG,3800000
AGO,3400000
CMR,3500000
GHA,4500000
CIV,3000000
SEN,2200000
MLI,3000000
BFA,3000000
NER,2500000
TCD,2000000
GIN,2200000
BEN,1700000
SLE,1800000
TGO,1500000
LBR,1000000
COG,700000
COD,9000000
CAF,1200000
GAB,500000
GNQ,200000
ZMB,1400000
ZWE,1500000
MWI,1600000
BWA,300000
NAM,300000
LSO,500000
SWZ,200000
MNG,700000
KAZ,6000000
UZB,6000000
TKM,1200000
KGZ,1500000
TJK,1500000
AZE,3200000
GEO,3500000
ARM,1300000
MDA,2800000
UKR,30000000
BLR,5500000
NZL,1500000
PNG,900000
FJI,200000
ISL,120000
